family,Temporada 7,Temporada 8,Temporada 9
bag,84833.0,55850.0,84902.0
cardigan,143866.0,263289.0,247037.0
coat,1848.0,41424.0,26506.0
dress,222581.0,179394.0,141712.0
fular,131213.0,11348.0,88177.0
jacket,246291.0,380543.0,362054.0
jeans,518826.0,607244.0,384411.0
jumpsuit,99026.0,20526.0,70708.0
pant,427150.0,375935.0,373567.0
scarf,726.0,191351.0,0.0
shirt,237888.0,358684.0,316610.0
short,140452.0,2772.0,130169.0
skirt,252608.0,254245.0,232070.0
sweater,243014.0,487152.0,344663.0
top,382144.0,283475.0,437774.0
trench,9988.0,594.0,24132.0
tshirt,281538.0,283642.0,232802.0
